Nom;Position;Pied;Prec_club;Arrivee;Valeur(M);Fin_contrat;Taille_cm;Age;Note_globale;Nationalite_1;Nationalite_2;Pace;Shooting;Passing;Dribbling;Defending;Physicality;Goalkeeping;Image_player;flag1;flag2;prec_club
Inaki Pegna;GB;Right;FC Barcelona B;2022;10;2026;184;26;73;Espagne;;36;16;27;41;9;38;72;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/Iniaki.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/espagne.jpg;;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/barcelone.png
Pau Cubarsi;DC;Right;FC Barcelone B;2024;70;2029;184;18;72;Espagne;;67;29;48;68;74;66;10;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/curbasi.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/espagne.jpg;;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/barcelone.png
Inigo Martinez;DC;Left;Athletic Bilbao;2023;5;2026;182;33;81;Espagne;;71;54;68;66;81;80;13;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/martinez.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/espagne.jpg;;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/bilbao.png
Alejandro Balde;DG;Left;FC Barcelone B;2022;60;2028;175;21;81;Espagne;République Dominicaine;90;46;64;76;74;66;9;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/balde.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/espagne.jpg;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/dominicana.jpg;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/barcelone.png
Jules Kounde;DD;Right;Séville FC;2022;60;2027;180;26;85;France;Bénin;84;43;61;77;85;82;11;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/kounde.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/france.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/benin.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/seville.png
Marc Casado;MD;Right;FC Barcelone B;2024;30;2028;172;21;65;Espagne;;58;52;58;64;61;54;11;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/casado.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/espagne.jpg;;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/barcelone.png
Pedri;MC;Right;UD Las Palmas;2019;120;2030;174;22;86;Espagne;;78;66;78;88;67;74;9;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/pedri.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/espagne.jpg;;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/laspalmas.png
Dani Olmo;MO;Right;RB Leipzig;2024;60;2030;179;26;84;Espagne;;74;77;80;86;49;58;13;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/olmo.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/espagne.jpg;;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/leipzig.png
Raphinha;AiG;Left;Leeds United;2022;80;2027;176;28;84;Brésil;Italie;90;79;79;84;54;78;10;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/raphina.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/Br%C3%A9sil.jpg;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/italie.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/leeds.png
Lamine Yamal;AiD;Left;FC Barcelone U19;2023;180;2026;180;17;81;Espagne;Guinée Equatoriale;82;71;74;78;24;50;9;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/yamal.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/espagne.jpg;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/equatorialpng.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/barcelone.png
Robert Lewandowski;AC;Right;Bayern Munich;2022;15;2026;185;36;88;Pologne;;76;88;79;85;47;84;10;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/lewandoski.png;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/Pologne.jpg;;https://raw.githubusercontent.com/oniel1401/DASHBOARD/main/barcelona/barcelonapicture/bayern.png
