ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,TERRITORY,DEALSIZE,ORDERLINENUMBER,CONTACTFULLNAME,ORDERNUMBER,QUANTITYORDERED,MSRP,PRICEEACH,ProfitPerUnit,TotalProfit,MarginPerUnit,TotalMargin,CurrentSales,PotentialSales,SalesDifference,Gain-Loss
2003-02-24,Shipped,Quarter1,February,2003,Motorcycles,S10_1678,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,NA,Small,2,Kwai Yu,10107,30,95,95.7,0.7000000000000028,21.000000000000085,0.736842105263161,22.10526315789483,2871.0,2850,21.0,Gain
2003-05-07,Shipped,Quarter2,May,2003,Motorcycles,S10_1678,Reims Collectables,59 rue de l'Abbaye,Reims,France,EMEA,Small,5,Paul Henriot,10121,34,95,81.35,-13.650000000000006,-464.1000000000002,-14.368421052631586,-488.5263157894739,2765.8999999999996,3230,-464.10000000000036,Loss
2003-07-01,Shipped,Quarter3,July,2003,Motorcycles,S10_1678,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,EMEA,Medium,2,Daniel Da Cunha,10134,41,95,94.74,-0.2600000000000051,-10.66000000000021,-0.2736842105263212,-11.22105263157917,3884.3399999999997,3895,-10.66000000000031,Loss
2003-08-25,Shipped,Quarter3,August,2003,Motorcycles,S10_1678,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,NA,Medium,6,Julie Young,10145,45,95,83.26,-11.739999999999995,-528.2999999999997,-12.3578947368421,-556.1052631578945,3746.7000000000003,4275,-528.2999999999997,Loss
2003-10-10,Shipped,Quarter4,October,2003,Motorcycles,S10_1678,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,USA,NA,Medium,14,Julie Brown,10159,49,95,100.0,5.0,245.0,5.263157894736842,257.89473684210526,4900.0,4655,245.0,Gain
2003-10-28,Shipped,Quarter4,October,2003,Motorcycles,S10_1678,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,NA,Medium,1,Juri Hirano,10168,36,95,96.66,1.6599999999999966,59.75999999999988,1.7473684210526281,62.90526315789461,3479.7599999999998,3420,59.75999999999976,Gain
2003-11-11,Shipped,Quarter4,November,2003,Motorcycles,S10_1678,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,EMEA,Small,9,Martine Rance,10180,29,95,86.13,-8.870000000000005,-257.23000000000013,-9.336842105263162,-270.7684210526317,2497.77,2755,-257.23,Loss
2003-11-18,Shipped,Quarter4,November,2003,Motorcycles,S10_1678,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA,Medium,1,Veysel Oeztan,10188,48,95,100.0,5.0,240.0,5.263157894736842,252.63157894736838,4800.0,4560,240.0,Gain
2003-12-01,Shipped,Quarter4,December,2003,Motorcycles,S10_1678,Mini Wheels Co.,5557 North Pendale Street,San Francisco,USA,NA,Small,2,Julie Murphy,10201,22,95,98.57,3.569999999999993,78.53999999999985,3.7578947368420983,82.67368421052616,2168.54,2090,78.53999999999996,Gain
2004-01-15,Shipped,Quarter1,January,2004,Motorcycles,S10_1678,Auto Canal Petit,"25, rue Lauriston",Paris,France,EMEA,Medium,14,Dominique Perrier,10211,41,95,100.0,5.0,205.0,5.263157894736842,215.7894736842105,4100.0,3895,205.0,Gain
